method,N,seed,near_P@30,near_Recall@30,near_P@100,near_Recall@100,strict_Recall@30,strict_Recall@100
MutCount (0 labels),20,11,0.21000000000000002,0.15365853658536588,0.09600000000000002,0.23414634146341468,0.25,0.25
Random,20,11,0.0,0.0,0.010000000000000002,0.02439024390243903,0.0,0.0
Ridge(one-hot),20,11,0.23333333333333334,0.1707317073170732,0.18000000000000002,0.4390243902439025,0.0,0.25
Ridge(compact),20,11,0.23333333333333334,0.1707317073170732,0.12999999999999998,0.3170731707317074,0.25,0.25
MutCount (0 labels),20,12,0.23666666666666666,0.1731707317073171,0.10600000000000001,0.2585365853658537,0.4000000000000001,0.4000000000000001
Random,20,12,0.03333333333333333,0.02439024390243903,0.010000000000000002,0.02439024390243903,0.0,0.0
Ridge(one-hot),20,12,0.13333333333333333,0.09756097560975611,0.12999999999999998,0.3170731707317074,0.20000000000000004,0.4000000000000001
Ridge(compact),20,12,0.13333333333333333,0.09756097560975611,0.12999999999999998,0.3170731707317074,0.20000000000000004,0.4000000000000001
MutCount (0 labels),20,13,0.24833333333333335,0.18624999999999997,0.10550000000000001,0.26375000000000004,0.4000000000000001,0.4000000000000001
Random,20,13,0.03333333333333333,0.025000000000000005,0.05000000000000001,0.125,0.20000000000000004,0.20000000000000004
Ridge(one-hot),20,13,0.16666666666666663,0.125,0.12000000000000002,0.29999999999999993,0.0,0.20000000000000004
Ridge(compact),20,13,0.20000000000000004,0.14999999999999997,0.14000000000000004,0.3499999999999999,0.20000000000000004,0.20000000000000004
MutCount (0 labels),20,14,0.24,0.18,0.10400000000000002,0.26000000000000006,0.4000000000000001,0.4000000000000001
Random,20,14,0.03333333333333333,0.025000000000000005,0.020000000000000004,0.05000000000000001,0.0,0.0
Ridge(one-hot),20,14,0.16666666666666663,0.125,0.18000000000000002,0.4499999999999999,0.0,0.4000000000000001
Ridge(compact),20,14,0.26666666666666666,0.20000000000000004,0.18000000000000002,0.4499999999999999,0.4000000000000001,0.4000000000000001
MutCount (0 labels),20,15,0.23500000000000001,0.16785714285714282,0.10500000000000002,0.25,0.4000000000000001,0.4000000000000001
Random,20,15,0.13333333333333333,0.09523809523809526,0.06000000000000001,0.14285714285714285,0.0,0.20000000000000004
Ridge(one-hot),20,15,0.16666666666666663,0.11904761904761904,0.12999999999999998,0.3095238095238095,0.20000000000000004,0.4000000000000001
Ridge(compact),20,15,0.16666666666666663,0.11904761904761904,0.10000000000000002,0.23809523809523808,0.20000000000000004,0.20000000000000004
MutCount (0 labels),20,16,0.23333333333333334,0.16666666666666663,0.10700000000000003,0.25476190476190474,0.4000000000000001,0.4000000000000001
Random,20,16,0.10000000000000002,0.07142857142857142,0.05000000000000001,0.11904761904761904,0.0,0.0
